Name	CellLine	CancerType	CellType	Comment
GSM133995.CEL.gz	MCF7	breast	Epithelial	Breast cancer cell line
GSM134000.CEL.gz	MDA-MB-231	breast	Epithelial	Breast cancer cell line
GSM134015.CEL.gz	T-47D	breast	Epithelial	Breast cancer cell line
GSM134050.CEL.gz	COLO205	colon	Epithelial	Colon cancer cell line
GSM134060.CEL.gz	HCT-116	colon	Epithelial	Colon cancer cell line
GSM134070.CEL.gz	HT29	colon	Epithelial	Colon cancer cell line
GSM44082.CEL.gz	Ramos	Burkitt	Lymphocytes	Burkitt lymphoma cell line
GSM44083.CEL.gz	P3HR1	Burkitt	Lymphocytes	Burkitt lymphoma cell line
GSM44084.CEL.gz	ST486	Burkitt	Lymphocytes	Burkitt lymphoma cell line
GSM44088.CEL.gz	Ly1	DLBCL	Lymphocytes	Diffuse large B cell lymphoma cell line
GSM44089.CEL.gz	Ly10	DLBCL	Lymphocytes	Diffuse large B cell lymphoma cell line
GSM44091.CEL.gz	Ly4	DLBCL	Lymphocytes	Diffuse large B cell lymphoma cell line
GSM44092.CEL.gz	Ly7	DLBCL	Lymphocytes	Diffuse large B cell lymphoma cell line
