A	Coef.CellType	Coef.CancerType.Epithelial	Coef.CancerType.Lyphocytes	t.CellType	t.CancerType.Epithelial	t.CancerType.Lyphocytes	p.value.CellType	p.value.CancerType.Epithelial	p.value.CancerType.Lyphocytes	F	F.p.value
10.52	0.174	0.009	0.064	1.98	0.07	0.53	0.07328	0.9434	0.60553	1.48	0.27268
10.21	0.5	-0.03	0.069	2.67	-0.11	0.27	0.02171	0.9147	0.79279	2.47	0.11583
7.03	0.282	-0.247	-0.103	1.93	-1.15	-0.52	0.08012	0.27275	0.6165	1.72	0.22071
6.67	0.257	-0.016	0.06	2.86	-0.12	0.49	0.01545	0.90332	0.637	2.92	0.08101
9.11	-0.441	-0.177	-0.846	-1.88	-0.52	-2.64	0.08628	0.6149	0.02275	3.96	0.03837
8.82	-0.872	-0.147	-1.206	-2.75	-0.32	-2.79	0.01861	0.75611	0.01748	5.71	0.013
7.79	0.356	-0.142	0.079	3.01	-0.82	0.49	0.01182	0.42768	0.63431	3.44	0.05493
6.18	0.112	-0.128	0.007	1.09	-0.85	0.05	0.30024	0.41374	0.96063	0.64	0.60359
10.27	1.902	-0.149	0.039	6.51	-0.35	0.1	4e-05	0.73319	0.92371	14.35	0.00039
11.45	0.642	0.083	0.019	5.73	0.51	0.13	0.00013	0.62222	0.90162	11.19	0.00111
13.06	0.058	-0.074	-0.319	0.34	-0.3	-1.38	0.7389	0.77004	0.1955	0.68	0.58402
8.41	0.031	-0.435	-0.488	0.1	-0.98	-1.17	0.91955	0.34827	0.2651	0.78	0.52976
8.73	0.149	0.021	0.018	1.33	0.13	0.12	0.21031	0.90235	0.90736	0.62	0.61911
10.19	2.088	0.602	-0.493	15.86	3.13	-2.74	0	0.0094	0.01897	87.65	0
5.9	-0.054	0.032	-0.395	-0.33	0.13	-1.75	0.74853	0.89786	0.10679	1.12	0.3838
6.89	-0.743	0.344	-0.354	-2.44	0.77	-0.85	0.0329	0.45657	0.4131	2.57	0.10661
10.17	0.044	0.223	0.27	0.42	1.45	1.87	0.68281	0.1751	0.08804	1.99	0.17387
8.76	0.029	-0.271	0.092	0.35	-2.24	0.81	0.73639	0.04642	0.43255	1.96	0.17873
6.13	0.367	-0.017	-0.121	4.32	-0.14	-1.05	0.00119	0.89301	0.31711	6.36	0.00912
6.32	-0.555	-0.013	0.046	-2.59	-0.04	0.16	0.0249	0.96768	0.87861	2.24	0.13995
8.8	0.12	-0.121	0.11	0.76	-0.52	0.51	0.46113	0.61032	0.62033	0.4	0.75528
9.61	0.021	-0.064	0.083	0.15	-0.31	0.43	0.88084	0.759	0.67227	0.11	0.95321
5.7	0.236	-0.257	-0.083	1.91	-1.42	-0.49	0.08275	0.18305	0.63567	1.91	0.18522
10.67	1.159	0.427	-0.37	5.76	1.45	-1.35	0.00012	0.17355	0.20476	11.98	0.00084
6.87	0.087	-0.069	0.056	0.91	-0.49	0.43	0.38206	0.63282	0.67337	0.45	0.72351
5.79	0.177	-0.011	-0.061	1.96	-0.08	-0.5	0.07534	0.93415	0.62815	1.32	0.31786
9	-0.04	-0.072	0.018	-0.41	-0.51	0.14	0.68654	0.62161	0.89276	0.15	0.92992
8.94	0.154	-0.324	0.146	1.52	-2.19	1.06	0.15561	0.05066	0.31224	2.86	0.08477
7.55	0.369	-0.344	-0.185	3.15	-2.01	-1.16	0.00918	0.06944	0.27186	4.89	0.02101
9.6	0.34	-0.219	-0.145	3.05	-1.34	-0.95	0.01102	0.20624	0.36194	3.84	0.04166
8.09	0.291	-0.11	0.023	3.04	-0.79	0.18	0.01103	0.4488	0.86156	3.37	0.05789
7.85	0.022	-0.232	-0.043	0.25	-1.78	-0.35	0.80924	0.1032	0.73401	1.11	0.3874
6.28	0.331	-0.018	-0.221	3.29	-0.12	-1.61	0.00707	0.90653	0.13459	4.18	0.03298
7.99	0.207	-0.06	-0.072	2.26	-0.45	-0.58	0.04462	0.6629	0.57601	1.82	0.20181
11.12	-0.282	0.594	-0.571	-1.4	2.01	-2.07	0.1897	0.06878	0.06216	3.65	0.04754
9.38	-0.519	0.394	0.187	-1.34	0.7	0.35	0.20592	0.49907	0.72945	0.78	0.52857
9.54	-0.04	-0.105	0.021	-0.44	-0.79	0.17	0.66987	0.44527	0.87183	0.28	0.84035
8.25	0.038	-0.216	0.21	0.51	-1.98	2.07	0.61825	0.07251	0.06306	2.91	0.08211
9.05	0.386	-0.393	-0.024	3.81	-2.65	-0.17	0.00283	0.02226	0.8677	7.2	0.00592
8.28	0.227	-0.475	-0.028	1.96	-2.82	-0.18	0.07501	0.0165	0.86273	3.94	0.03885
5.39	0.34	0.277	0.002	1.96	1.09	0.01	0.07516	0.29742	0.99203	1.7	0.22455
6.08	0.178	-0.181	-0.183	2.09	-1.46	-1.58	0.06043	0.17311	0.14221	2.8	0.08917
7.56	0.203	2.059	0.158	0.46	3.17	0.26	0.6562	0.00873	0.79968	3.46	0.05426
8.61	-0.501	-0.127	0.059	-1.45	-0.25	0.12	0.17555	0.80682	0.90292	0.72	0.56108
7.51	0.152	-0.095	-0.042	1.45	-0.62	-0.29	0.17476	0.54889	0.77483	0.84	0.50167
7.63	0.237	0.007	0.091	1.57	0.03	0.44	0.14384	0.97429	0.66609	0.94	0.45204
7.73	0.157	-0.27	0.054	1.67	-1.97	0.42	0.12267	0.07389	0.6794	2.34	0.12854
5.75	0.531	0.835	0.037	2.25	2.42	0.12	0.0458	0.03387	0.90963	3.67	0.04667
6.25	-0.005	0.068	-0.052	-0.06	0.62	-0.51	0.9532	0.549	0.62231	0.22	0.88263
9.02	-2.266	-0.098	-0.37	-5.88	-0.17	-0.7	1e-04	0.86453	0.49665	12.07	0.00081
8.4	-0.303	0.198	0.085	-1.64	0.73	0.34	0.12867	0.47852	0.74298	1.09	0.39429
6.44	0.218	0.85	0.147	0.67	1.8	0.33	0.5149	0.09963	0.74603	1.28	0.32901
8.74	0.465	-0.155	0.017	2.95	-0.67	0.08	0.01308	0.51482	0.93914	3.1	0.07096
7.21	0.146	-0.009	0.125	1.18	-0.05	0.74	0.26095	0.96188	0.47232	0.72	0.56198
8.92	0.299	-0.237	-0.172	2.53	-1.37	-1.06	0.02768	0.19712	0.30993	2.99	0.07699
6.23	0.065	0.042	-0.096	0.78	0.34	-0.85	0.45036	0.73701	0.41198	0.45	0.72479
5.27	-0.045	0.08	0.057	-0.43	0.53	0.4	0.67343	0.60872	0.6965	0.2	0.89554
7	0.018	-0.232	0.078	0.18	-1.54	0.55	0.86243	0.15188	0.5928	0.91	0.46806
6.77	1.795	0.65	-0.439	6.59	1.63	-1.18	4e-05	0.13026	0.26266	15.47	0.00028
10.11	0.543	0.017	-0.484	2.7	0.06	-1.76	0.02058	0.95444	0.10625	3.18	0.06673
9.47	0.169	-0.047	-0.464	0.65	-0.13	-1.32	0.52602	0.90272	0.21441	0.68	0.58424
10.49	0.087	-0.264	-0.107	0.26	-0.55	-0.24	0.7975	0.59456	0.81628	0.14	0.93506
6.75	-0.201	-0.088	-0.354	-1.41	-0.42	-1.81	0.18654	0.68272	0.09746	2	0.17266
9.92	2.944	-0.529	0.013	4.01	-0.49	0.01	0.00202	0.63174	0.99027	5.48	0.01475
6.16	0.157	-0.077	-0.049	1.5	-0.51	-0.34	0.16104	0.62138	0.73787	0.85	0.4945
5.39	0.106	0.121	-0.085	1.47	1.15	-0.86	0.16906	0.27508	0.40914	1.33	0.3133
8.97	-1.311	0.644	-0.013	-6.27	2.11	-0.04	6e-05	0.05824	0.9651	14.75	0.00034
8.53	0.33	-0.425	-0.054	2.33	-2.05	-0.28	0.03995	0.06501	0.78701	3.2	0.06562
8.61	-0.219	-0.273	0.041	-0.82	-0.7	0.11	0.4273	0.49735	0.91197	0.39	0.76205
7.35	-1.043	0.01	0.361	-2.12	0.01	0.54	0.05714	0.9895	0.60137	1.54	0.25926
8.94	0.386	-0.218	0.053	4.24	-1.64	0.43	0.00136	0.12873	0.67758	7.13	0.00615
7.86	0.229	0.657	0.027	0.85	1.67	0.07	0.41121	0.12187	0.94313	1.19	0.35925
6.89	-0.19	-0.054	0.062	-1.83	-0.35	0.44	0.09403	0.73024	0.66787	1.18	0.36059
7.99	-0.207	-0.251	0.227	-1.77	-1.47	1.42	0.1039	0.16973	0.18338	2.29	0.13477
6.77	0.078	-0.232	0.049	0.66	-1.33	0.3	0.52441	0.20872	0.76815	0.78	0.52775
9.97	-0.095	-0.204	0.158	-0.95	-1.4	1.16	0.36227	0.18897	0.27073	1.34	0.31207
5.77	0.309	-0.128	0.041	2.6	-0.74	0.25	0.02442	0.47608	0.80704	2.52	0.11097
7.68	0.383	-0.106	-0.076	4.01	-0.76	-0.59	0.002	0.46272	0.57016	5.58	0.014
8.84	-0.074	-0.078	-0.14	-0.4	-0.29	-0.55	0.69895	0.77931	0.59282	0.2	0.89637
8.66	0.304	-0.039	-0.098	3.1	-0.27	-0.73	0.00991	0.78996	0.48042	3.3	0.06107
9.53	0.431	-0.149	-0.09	3.36	-0.8	-0.51	0.00624	0.44309	0.61805	3.99	0.03743
11.91	-1.102	0.717	0.759	-4.16	1.85	2.1	0.00155	0.0903	0.05956	7.89	0.00428
9.28	0.52	0.5	0.258	3.03	2	1.1	0.01129	0.07097	0.29359	5.05	0.01906
5.98	-0.12	-0.091	0.034	-1.77	-0.92	0.37	0.10423	0.37876	0.71956	1.34	0.31201
5.6	-0.162	-0.212	-0.459	-1.12	-1	-2.32	0.28732	0.33761	0.04043	2.74	0.09374
5.71	0.027	0.286	0.088	0.27	1.97	0.65	0.79245	0.0748	0.53124	1.46	0.27717
6.23	0.715	-1.286	-0.034	1.74	-2.14	-0.06	0.11006	0.05541	0.95221	2.54	0.10996
7.26	0.618	-1.071	-0.062	1.43	-1.7	-0.11	0.18034	0.11734	0.918	1.64	0.23573
9.67	0.367	-0.153	-0.122	3.81	-1.09	-0.92	0.00284	0.29849	0.37519	5.34	0.01606
6.93	0.129	-0.061	-0.092	1.46	-0.47	-0.76	0.17106	0.64433	0.46286	0.92	0.46399
12.95	-1.28	1.078	-0.089	-3.48	2.01	-0.18	0.00507	0.06978	0.86198	5.47	0.01488
7.62	0.318	-0.631	0.018	3.05	-4.14	0.13	0.01084	0.0016	0.90226	8.89	0.00274
8.49	0.827	-1.104	-0.045	2.47	-2.26	-0.1	0.0308	0.04502	0.92344	3.74	0.04442
7.71	0.071	-0.346	0.2	0.88	-2.96	1.83	0.39591	0.01284	0.09497	4.41	0.02841
10.65	-3.2	0.307	-0.123	-15.36	1.01	-0.43	0	0.33478	0.67478	80.21	0
7.75	-0.089	-0.236	0.052	-0.68	-1.24	0.29	0.51132	0.24086	0.77503	0.68	0.58084
8.51	0.211	-0.316	0.177	1.01	-1.04	0.62	0.33182	0.32056	0.5458	0.88	0.48126
5.5	0.648	0.03	0.008	2.75	0.09	0.02	0.01877	0.93286	0.98118	2.55	0.10866
7.47	0.386	-0.372	-0.154	2.28	-1.5	-0.67	0.04361	0.16038	0.51935	2.55	0.10888
10.46	0.219	0.021	-0.078	1.05	0.07	-0.28	0.31662	0.94731	0.78797	0.38	0.77063
6.32	-0.09	-0.01	0.117	-0.87	-0.06	0.84	0.4002	0.95069	0.42127	0.45	0.72523
10.74	-0.003	0.086	0.313	-0.03	0.51	2.01	0.97757	0.61702	0.06947	1.44	0.28276
10.59	0.053	-0.133	0.068	0.7	-1.21	0.66	0.49756	0.24991	0.52133	0.83	0.50208
6.77	-0.454	0.304	-0.596	-1.38	0.64	-1.33	0.19357	0.53814	0.20994	1.5	0.26931
9.51	-0.604	0.287	-0.408	-2.51	0.82	-1.24	0.02867	0.43057	0.23993	3.07	0.07234
